Designator,Mid X,Mid Y,Layer,Rotation
C1,1.905,11.176,TOP,270
C2,8.89,31.877,TOP,180
C24,5.588,6.985,TOP,0
D1,2.159,32.766,TOP,270
INPUT,7.239,2.54,BOTTOM,0
INPUT_LED,12.7,3.556,TOP,270
L1,7.239,22.479,TOP,90
OUTPUT,7.239,37.338,BOTTOM,0
OUTPUT_LED,12.7,36.322,TOP,90
R1,11.811,6.858,TOP,0
R2,11.811,8.128,TOP,180
R3,12.065,14.859,TOP,180
R4,11.811,11.684,TOP,270
R5,10.414,3.556,TOP,270
R6,11.557,36.322,TOP,90
R7,11.557,3.556,TOP,270
U1,6.731,12.7,TOP,270
